driver_gene,target_gene,n_lineages,lineages,mean_effect,min_effect
PIK3CA,FNBP4,2,"blood, skin",-0.1855236336815431,-0.21506919436869804
PIK3CA,DAZAP1,2,"blood, skin",-0.18482295305351132,-0.2120617092816383
PIK3CA,RAB1B,2,"blood, colorectal",-0.1670259181526412,-0.18200757770283044
PIK3CA,SLC20A1,2,"blood, colorectal",-0.21377518790819264,-0.2761528772878271
BRCA2,GGPS1,2,"blood, lung",-0.5214178483731788,-0.6162068003704627
BRCA2,DYNLRB1,2,"blood, breast",-0.48613717781260457,-0.5520357871423371
BRCA2,RPS15A,2,"blood, lung",-0.3917866327107583,-0.5079364887462563
BRCA2,RPL14,2,"blood, lung",-0.3164414403667818,-0.4570376213330274
BRCA2,DDX54,2,"blood, skin",-0.36378832946334133,-0.4324379526871994
BRCA2,SYMPK,2,"blood, skin",-0.45238468145480515,-0.47721821180673896
BRCA2,ABCE1,2,"blood, lung",-0.32541781544423465,-0.41258915632719284
BRCA2,POLR3B,2,"blood, skin",-0.4272367128745965,-0.4618554475400989
PTEN,NPM3,2,"blood, lymphocyte",-0.20156004118803536,-0.2223939698863059
BRCA2,GINS4,2,"blood, colorectal",-0.4473771169578341,-0.507196606069787
BRCA2,FAM104B,2,"blood, central_nervous_system",-0.2779107384958527,-0.37571986713178873
BRCA2,TRNT1,2,"blood, lung",-0.36877735616700863,-0.3693455025181205
BRCA2,YBX1,2,"blood, lung",-0.2921985193195578,-0.363495966228372
BRCA2,VARS2,2,"blood, upper_aerodigestive",-0.3398295781373849,-0.362938884187576
BRCA2,LARS2,2,"blood, upper_aerodigestive",-0.32404118221743666,-0.3488224367675196
BRCA2,TARDBP,2,"blood, central_nervous_system",-0.2627323449919721,-0.3417201747766918
BRCA2,MLST8,2,"blood, breast",-0.3209417114362802,-0.3324609223626174
BRCA2,XAB2,2,"blood, central_nervous_system",-0.31015160982410017,-0.3890964324623556
PTEN,CCNA2,2,"blood, lymphocyte",-0.22823543397783574,-0.2847192557346301
PTEN,SNRNP40,2,"blood, lymphocyte",-0.20183237346045424,-0.23325106591660327
PTEN,KIAA1143,2,"blood, lymphocyte",-0.18768784273517175,-0.21190920495342988
PTEN,RCOR2,2,"blood, lymphocyte",-0.1562956655153066,-0.15991142194647748
PTEN,ANAPC13,2,"blood, lymphocyte",-0.1814268114102792,-0.20735441626637086
STK11,RBM18,2,"blood, kidney",-0.25873446042070036,-0.288423254568381
STK11,SNRPC,2,"blood, kidney",-0.3287909391835836,-0.39266081031322364
STK11,HMGB3,2,"blood, kidney",-0.25595051160898175,-0.264038454140627
ARID1A,EAF1,2,"blood, central_nervous_system",-0.25779387598030434,-0.36432740527166907
STK11,RPS19,2,"blood, lymphocyte",-0.15915839009224175,-0.16353196473059706
STK11,DPM2,2,"blood, skin",-0.15769907570501943,-0.16261006359417757
STK11,BAK1,2,"blood, lymphocyte",-0.1899523647963036,-0.2191126256690557
ARID1A,GMNN,2,"blood, breast",-0.3123432282908835,-0.3263960614425997
ARID1A,HAUS4,2,"blood, lymphocyte",-0.24532309953998793,-0.24787006282265533
ARID1A,TRA2B,2,"blood, lymphocyte",-0.3207152953371585,-0.401237358064995
ARID1A,NPEPPS,2,"blood, central_nervous_system",-0.18822186046018827,-0.2080631014660223
ARID1A,HERC2,2,"blood, lymphocyte",-0.19705697047970522,-0.22251547360907714
ARID1A,MLLT10,2,"blood, lymphocyte",-0.1652304185528738,-0.16616366319530462
STK11,C1D,2,"blood, lymphocyte",-0.2072037275775758,-0.21594660441956806
